"Age_yrs_b2k" "norm_units" "error"
27750 0.305 0.101
27775 0.318 0.1
27800 0.322 0.103
27825 0.317 0.113
27850 0.311 0.125
27875 0.296 0.14
27900 0.263 0.154
27925 0.229 0.155
27950 0.196 0.156
27975 0.14 0.15
28000 0.093 0.139
28025 0.067 0.127
28050 0.062 0.114
28075 0.053 0.105
28100 0.052 0.092
28125 0.044 0.084
28150 0.04 0.078
28175 0.036 0.073
28200 0.036 0.07
28225 0.032 0.067
28250 0.03 0.064
28275 0.03 0.063
28300 0.028 0.064
28325 0.031 0.064
28350 0.031 0.065
28375 0.034 0.065
28400 0.036 0.067
28425 0.037 0.07
28450 0.044 0.073
28475 0.047 0.073
28500 0.052 0.074
28525 0.054 0.074
28550 0.05 0.072
28575 0.05 0.07
28600 0.046 0.074
28625 0.038 0.075
28650 0.032 0.08
28675 0.027 0.078
28700 0.024 0.083
28725 0.022 0.089
28750 0.028 0.094
28775 0.039 0.102
28800 0.052 0.109
28825 0.079 0.113
28850 0.116 0.119
28875 0.138 0.119
28900 0.167 0.119
28925 0.192 0.115
28950 0.216 0.112
28975 0.243 0.11
29000 0.27 0.109
29025 0.296 0.109
29050 0.32 0.107
29075 0.337 0.105
29100 0.352 0.106
29125 0.364 0.105
29150 0.368 0.111
29175 0.367 0.123
29200 0.36 0.133
29225 0.336 0.145
29250 0.293 0.154
29275 0.227 0.149
29300 0.199 0.137
29325 0.179 0.129
29350 0.16 0.117
29375 0.15 0.108
29400 0.134 0.096
29425 0.12 0.094
29450 0.107 0.094
29475 0.094 0.093
29500 0.075 0.096
29525 0.048 0.096
29550 0.026 0.095
29575 0.009 0.092
29600 -0.007 0.088
29625 -0.018 0.086
29650 -0.023 0.088
29675 -0.032 0.09
29700 -0.036 0.088
29725 -0.036 0.085
29750 -0.039 0.084
29775 -0.042 0.083
29800 -0.044 0.081
29825 -0.046 0.079
29850 -0.049 0.077
29875 -0.05 0.074
29900 -0.048 0.072
29925 -0.052 0.07
29950 -0.052 0.069
29975 -0.051 0.07
30000 -0.056 0.073
30025 -0.057 0.078
30050 -0.056 0.078
30075 -0.06 0.081
30100 -0.064 0.084
30125 -0.068 0.084
30150 -0.072 0.083
30175 -0.065 0.081
30200 -0.058 0.079
30225 -0.05 0.076
30250 -0.047 0.071
30275 -0.04 0.07
30300 -0.035 0.069
30325 -0.028 0.067
30350 -0.017 0.064
30375 -0.01 0.061
30400 -0.005 0.06
30425 0.002 0.06
30450 0.005 0.061
30475 0.01 0.061
30500 0.015 0.062
30525 0.021 0.064
30550 0.024 0.066
30575 0.032 0.07
30600 0.037 0.077
30625 0.042 0.083
30650 0.048 0.09
30675 0.054 0.097
30700 0.058 0.105
30725 0.068 0.112
30750 0.079 0.117
30775 0.092 0.12
30800 0.112 0.123
30825 0.144 0.124
30850 0.178 0.124
30875 0.204 0.123
30900 0.215 0.118
30925 0.224 0.115
30950 0.229 0.108
30975 0.232 0.103
31000 0.233 0.098
31025 0.233 0.095
31050 0.228 0.094
31075 0.227 0.096
31100 0.217 0.097
31125 0.21 0.1
31150 0.193 0.103
31175 0.175 0.104
31200 0.15 0.104
31225 0.126 0.102
31250 0.109 0.097
31275 0.092 0.092
31300 0.081 0.085
31325 0.072 0.078
31350 0.066 0.072
31375 0.06 0.067
31400 0.058 0.062
31425 0.057 0.058
31450 0.057 0.055
31475 0.056 0.055
31500 0.056 0.055
31525 0.053 0.054
31550 0.052 0.054
31575 0.051 0.055
31600 0.048 0.057
31625 0.045 0.058
31650 0.042 0.06
31675 0.037 0.061
31700 0.035 0.062
31725 0.034 0.065
31750 0.028 0.069
31775 0.024 0.07
31800 0.015 0.072
31825 0.009 0.075
31850 0.002 0.077
31875 -0.006 0.079
31900 -0.01 0.081
31925 -0.015 0.085
31950 -0.015 0.089
31975 -0.015 0.094
32000 -0.017 0.101
32025 -0.014 0.107
32050 -0.011 0.112
32075 -0.001 0.121
32100 0.009 0.127
32125 0.021 0.133
32150 0.038 0.138
32175 0.058 0.14
32200 0.088 0.144
32225 0.112 0.144
32250 0.138 0.144
32275 0.154 0.144
32300 0.174 0.142
32325 0.188 0.136
32350 0.196 0.132
32375 0.207 0.129
32400 0.211 0.128
32425 0.221 0.126
32450 0.229 0.126
32475 0.24 0.13
32500 0.243 0.132
32525 0.254 0.134
32550 0.252 0.139
32575 0.255 0.146
32600 0.255 0.151
32625 0.254 0.155
32650 0.247 0.162
32675 0.241 0.169
32700 0.232 0.173
32725 0.225 0.178
32750 0.209 0.18
32775 0.185 0.183
32800 0.162 0.185
32825 0.085 0.185
32850 0.042 0.182
32875 0.01 0.179
32900 -0.006 0.176
32925 -0.021 0.17
32950 -0.034 0.164
32975 -0.036 0.158
33000 -0.044 0.152
33025 -0.049 0.147
33050 -0.052 0.14
33075 -0.055 0.135
33100 -0.055 0.129
33125 -0.055 0.123
33150 -0.057 0.117
33175 -0.058 0.11
33200 -0.059 0.104
33225 -0.06 0.098
33250 -0.064 0.092
33275 -0.064 0.089
33300 -0.066 0.088
33325 -0.067 0.085
33350 -0.071 0.083
33375 -0.073 0.083
33400 -0.074 0.084
33425 -0.072 0.085
33450 -0.072 0.087
33475 -0.07 0.09
33500 -0.071 0.094
33525 -0.072 0.099
33550 -0.073 0.103
33575 -0.074 0.108
33600 -0.074 0.112
33625 -0.07 0.117
33650 -0.072 0.123
33675 -0.066 0.127
33700 -0.063 0.129
33725 -0.059 0.132
33750 -0.05 0.137
33775 -0.032 0.138
33800 -0.019 0.142
33825 0.007 0.144
33850 0.024 0.144
33875 0.032 0.145
33900 0.044 0.145
33925 0.053 0.146
33950 0.06 0.148
33975 0.07 0.15
34000 0.068 0.152
34025 0.075 0.152
34050 0.069 0.155
34075 0.064 0.157
34100 0.052 0.159
34125 0.042 0.159
34150 0.024 0.156
34175 -0.011 0.155
34200 -0.032 0.155
34225 -0.051 0.151
34250 -0.065 0.149
34275 -0.078 0.144
34300 -0.082 0.136
34325 -0.09 0.128
34350 -0.098 0.121
34375 -0.101 0.113
34400 -0.107 0.107
34425 -0.109 0.102
34450 -0.113 0.097
34475 -0.115 0.094
34500 -0.118 0.092
34525 -0.12 0.091
34550 -0.122 0.091
34575 -0.122 0.089
34600 -0.123 0.088
34625 -0.121 0.089
34650 -0.119 0.09
34675 -0.114 0.093
34700 -0.111 0.096
34725 -0.109 0.1
34750 -0.107 0.104
34775 -0.103 0.106
34800 -0.091 0.109
34825 -0.082 0.113
34850 -0.068 0.117
34875 -0.05 0.12
34900 -0.038 0.122
34925 -0.019 0.125
34950 -0.007 0.124
34975 0.006 0.124
35000 0.013 0.124
35025 0.024 0.125
35050 0.032 0.126
35075 0.044 0.124
35100 0.047 0.124
35125 0.053 0.123
35150 0.058 0.12
35175 0.068 0.12
35200 0.075 0.118
35225 0.08 0.117
35250 0.091 0.117
35275 0.097 0.118
35300 0.1 0.117
35325 0.109 0.117
35350 0.117 0.116
35375 0.122 0.115
35400 0.129 0.114
35425 0.137 0.113
35450 0.139 0.112
35475 0.142 0.109
35500 0.142 0.107
35525 0.144 0.108
35550 0.145 0.108
35575 0.146 0.109
35600 0.144 0.111
35625 0.144 0.111
35650 0.144 0.113
35675 0.147 0.112
35700 0.145 0.115
35725 0.143 0.117
35750 0.141 0.12
35775 0.137 0.124
35800 0.131 0.127
35825 0.131 0.13
35850 0.126 0.133
35875 0.124 0.135
35900 0.12 0.137
35925 0.114 0.14
35950 0.105 0.142
35975 0.092 0.14
36000 0.076 0.142
36025 0.049 0.143
36050 0.009 0.143
36075 -0.032 0.14
36100 -0.046 0.136
36125 -0.057 0.133
36150 -0.067 0.125
36175 -0.08 0.121
36200 -0.081 0.115
36225 -0.085 0.106
36250 -0.091 0.102
36275 -0.096 0.097
36300 -0.095 0.091
36325 -0.094 0.089
36350 -0.09 0.089
36375 -0.089 0.094
36400 -0.085 0.098
36425 -0.081 0.105
36450 -0.077 0.108
36475 -0.073 0.113
36500 -0.071 0.121
36525 -0.066 0.129
36550 -0.067 0.133
36575 -0.07 0.138
36600 -0.069 0.14
36625 -0.068 0.142
36650 -0.068 0.145
36675 -0.062 0.15
36700 -0.064 0.154
36725 -0.057 0.159
36750 -0.051 0.16
36775 -0.039 0.166
36800 -0.029 0.168
36825 -0.012 0.172
36850 0.004 0.172
36875 0.02 0.174
36900 0.038 0.173
36925 0.053 0.172
36950 0.063 0.174
36975 0.074 0.174
37000 0.085 0.172
37025 0.095 0.169
37050 0.105 0.166
37075 0.112 0.16
37100 0.121 0.151
37125 0.132 0.141
37150 0.138 0.125
37175 0.15 0.111
37200 0.155 0.116
37225 0.156 0.119
37250 0.159 0.123
37275 0.161 0.128
37300 0.172 0.129
37325 0.175 0.132
37350 0.182 0.135
37375 0.197 0.136
37400 0.218 0.136
37425 0.233 0.137
37450 0.248 0.137
37475 0.262 0.133
37500 0.263 0.13
37525 0.273 0.128
37550 0.273 0.125
37575 0.278 0.12
37600 0.278 0.115
37625 0.28 0.111
37650 0.276 0.104
37675 0.275 0.099
37700 0.275 0.093
37725 0.271 0.091
37750 0.269 0.089
37775 0.267 0.091
37800 0.269 0.09
37825 0.263 0.092
37850 0.259 0.09
37875 0.261 0.093
37900 0.261 0.098
37925 0.26 0.102
37950 0.26 0.103
37975 0.255 0.109
38000 0.253 0.112
38025 0.241 0.116
38050 0.237 0.127
38075 0.232 0.137
38100 0.224 0.146
38125 0.219 0.153
38150 0.207 0.154
38175 0.192 0.158
38200 0.182 0.168
38225 0.174 0.18
38250 0.161 0.188
38275 0.134 0.198
38300 0.121 0.206
38325 0.106 0.212
38350 0.092 0.214
38375 0.071 0.224
38400 0.06 0.226
38425 0.052 0.235
38450 0.035 0.24
38475 0.032 0.245
38500 0.01 0.247
38525 0.009 0.256
38550 -0.012 0.267
38575 -0.034 0.267
38600 -0.086 0.274
38625 -0.123 0.275
38650 -0.166 0.277
38675 -0.223 0.283
38700 -0.259 0.283
38725 -0.291 0.283
38750 -0.327 0.278
38775 -0.341 0.276
38800 -0.359 0.27
38825 -0.383 0.262
38850 -0.39 0.257
38875 -0.412 0.255
38900 -0.418 0.243
38925 -0.43 0.234
38950 -0.444 0.225
38975 -0.453 0.22
39000 -0.46 0.214
39025 -0.463 0.208
39050 -0.47 0.203
39075 -0.477 0.198
39100 -0.485 0.197
39125 -0.494 0.191
39150 -0.492 0.189
39175 -0.496 0.189
39200 -0.504 0.182
39225 -0.511 0.181
39250 -0.513 0.179
39275 -0.517 0.177
39300 -0.515 0.176
39325 -0.509 0.175
39350 -0.496 0.173
39375 -0.498 0.176
39400 -0.486 0.176
39425 -0.477 0.174
39450 -0.465 0.172
39475 -0.453 0.173
39500 -0.429 0.173
39525 -0.404 0.172
39550 -0.391 0.174
39575 -0.376 0.169
39600 -0.369 0.163
39625 -0.354 0.164
39650 -0.338 0.157
39675 -0.33 0.156
39700 -0.318 0.144
39725 -0.306 0.147
39750 -0.3 0.139
39775 -0.297 0.129
39800 -0.288 0.126
39825 -0.285 0.126
39850 -0.275 0.123
39875 -0.273 0.123
39900 -0.273 0.116
39925 -0.27 0.114
39950 -0.273 0.121
39975 -0.273 0.127
40000 -0.265 0.138
40025 -0.252 0.151
40050 -0.246 0.161
40075 -0.236 0.171
40100 -0.217 0.181
40125 -0.21 0.189
40150 -0.192 0.198
40175 -0.176 0.201
40200 -0.163 0.208
40225 -0.136 0.212
40250 -0.098 0.217
40275 -0.046 0.219
40300 -0.006 0.218
40325 0.038 0.217
40350 0.069 0.216
40375 0.085 0.212
40400 0.103 0.205
40425 0.112 0.196
40450 0.117 0.185
40475 0.126 0.178
40500 0.135 0.171
40525 0.142 0.157
40550 0.145 0.14
40575 0.144 0.137
40600 0.146 0.136
40625 0.145 0.138
40650 0.137 0.143
40675 0.131 0.146
40700 0.122 0.146
40725 0.114 0.148
40750 0.1 0.149
40775 0.088 0.15
40800 0.06 0.15
40825 0.051 0.148
40850 0.043 0.152
40875 0.034 0.15
